TOTAL;SECRETARIA;AGRUPAMENTO;SUBPREFEITURA;ADM REGIONAL;DRE;TIPO UNIDADE; ;CÓDIGO UNIDADE;NOME UNIDADE;ENDEREÇO;TELEFONE;CEP;BAIRRO;INICIO CONVENIO;FIM CONVENIO;TIPO ATENDIMENTO;INICIO DESATIVACAO;FIM DESATIVACAO;CODIGO EOL;INAUGURADO;INICIO TIPO ATENDIMENTO;FIM TIPO ATENDIMENTO
488;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12769;CEI CONV. FIM DE SEMANA;R, FIM DE SEMANA, 513;(11)55137038;5846270;JD. CASA BLANCA;01/01/2013;31/12/2017;DIRETA;;;400757;01/02/2013;;
489;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12761;CEI CONV. TIQUIRA;R.TIQUIRA, S/N;(11)58331143 (11)58330290;5873390;JD. ANGELA;28/12/2012;31/12/2017;DIRETA;;;400756;18/01/2013;;
490;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12631;CEI CONV. CEDRO DO LÍBANO VI;R. GUILHERME VALENTE, 131;(11)55147788;5818280;JARDIM VERGUEIRO;01/02/2012;31/01/2017;DIRETA;;;307722;01/03/2012;;
491;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;12543;CEI  CONV. NOSSA SENHORA DE GUADALUPE;AV. DOS FUNCIONÁRIOS PÚBLICOS, 1330;(11)58390912 (11)55171192 (11)55170707;4962000;JD.VERA CRUZ;28/03/2016;27/09/2018;DIRETA;;;307503;03/05/2011;;
492;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7759;CEI CONV. ROSA MARIA;R. DO MAGISTÉRIO, 70;(11)58919711;4930040;JD. ROSA MARIA;01/01/2013;31/12/2017;DIRETA;;;400481;09/03/2000;;
493;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7774;CEI CONV. N. SRA. APARECIDA;RUA VIRURI, 185;(11)58976422;4909070;JARDIM ALFREDO;01/01/2013;31/12/2017;DIRETA;;;400580;09/03/2000;;
494;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7743;CEI CONV. JARDIM MONTE AZUL;AV. TOMAS DE SOUSA, 874;(11)58518714;5836350;JD. MONTE AZUL;01/01/2013;31/07/2017;DIRETA;;;400385;28/02/2000;;
495;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;10547;CEI CONV. LAR MARIA ALBERTINA;R. NOVA DO TUPAROQUERA, 520;(11)58516140;5820200;JD. SÃO LUIZ;09/02/2015;08/06/2017;DIRETA;;;306608;24/02/2005;;
496;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;10534;CEI CONV. JOSÉ CLÁUDIO VIEIRA;R. PARVATI, 408;(11)58925481;4918160;JD. SÃO FRANCISCO;31/07/2012;30/07/2017;DIRETA;;;306611;05/01/2005;;
497;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;10463;CEI CONV. BETE SHALOM - MORADA DA PAZ;R. PARQUE DO LAGO, 121;(11)55172445;4944000;PQ. DO LAGO;30/10/2014;16/01/2018;DIRETA;;;400577;01/09/2004;;
498;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7757;CEI CONV. COMUN. INFANTIL AGLAEZINHA I;R. CARLO SARACENI, 72;(11)58338117;5870090;JD. FRATERNIDADE;01/01/2013;31/12/2017;DIRETA;;;306226;27/03/2000;;
499;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9705;CEI CONV. JD. ECOLÓGICO GUARAPIRANGA I;R. CARLOS GUILHERME SCHMIDT, 350;(11)58279021;2941180;JD. FLÓRIDA PAULISTA;01/01/2013;23/01/2018;DIRETA;;;400778;13/01/2003;;
500;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9591;CEI CONV. PIRRALHINHOS;R. BARTOLOMEU DOS SANTOS, 541;(11)58916606;5821030;CHACARA SANTANA;29/08/2014;28/02/2017;DIRETA;;;306506;30/06/2002;;
501;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9578;CEI CONV. HORIZONTE  AZUL - ACQUA DI VITA;R. AGATINO DE ESPARTA, 2000;(11)58391747;4963130;JD. HORIZONTE AZUL;01/01/2013;31/12/2017;DIRETA;;;306518;16/04/2002;;
502;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9572;CEI CONV. CEDRO DO LIBANO II;R. GUILHERME VALENTE, 131;(11)55147783;5818280;JD.VERGUEIRO;01/01/2013;31/12/2017;DIRETA;;;306494;05/04/2002;;
503;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9559;CEI CONV. CEDRO DO LIBANO I;R. GUILHERME VALENTE, 131;(11)55147782;5818280;JD. VERGUEIRO;01/01/2013;31/12/2017;DIRETA;;;306493;21/01/2002;;
504;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9341;CEI CONV. STO. DIAS;R. ERNESTO PASQUALUCCI, 339;(11)58317042;4935050;JD. DIONÍSIO;01/01/2013;31/12/2017;DIRETA;;;306257;14/08/1999;;
505;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9280;CEI CONV. JD. STA. EDWIGES;R. SEBASTIÃO SENRET, 15;(11)58972398;4911030;JD.STA.EDWIGES;01/01/2013;31/12/2017;DIRETA;;;306637;02/12/1998;;
506;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9246;CEI CONV. JOÃO PEDRO RODRIGUES;R. JOÃO MANOEL VAZ, 11;(11)55180289;4930250;JD. STA. MARGARIDA;01/01/2013;31/12/2017;DIRETA;;;306236;28/02/2000;;
507;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;9076;CEI CONV. JD. DOS REIS;ESTRADA  DO JARARAU, 89;(11)58333405 (11)0;4943120;JARDIM DOS REIS;01/01/2013;31/12/2017;DIRETA;;;400382;28/02/2000;;
508;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7776;CEI CONV. JD. UNIVERSAL;R. BÁCIO DE FILICÁIA, 274;(11)58931757;4914060;JD. FIGUEIRA GRANDE;01/01/2013;31/12/2017;DIRETA;;;306246;09/03/2000;;
509;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7769;CEI CONV. MARIA IZABEL;R. NOVA DO TUPAROQUERA, 117;(11)58510943;5820200;JD. SÃO LUÍS;01/01/2008;31/12/2017;DIRETA;;;306240;28/02/2000;;
510;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7760;CEI CONV. JD. KLEIN;R. BONIFÁCIO DE MONTE FERRAT, 260;(11)58914943;5831040;JD. KLEIN;01/01/2013;31/12/2017;DIRETA;;;306233;09/03/2000;;
511;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7748;CEI CONV. N. SRA. DO CAMINHO I;R. ENG. ANTONIO ALVES BRAGA, 17;(11)55176907;4923160;JD. RIVIERA;01/01/2013;31/12/2017;DIRETA;;;306245;28/02/2000;;
512;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7742;CEI CONV. CEDRINHO  I;R. GUILHERME VALENTE, 131;(11)58911707;5818280;JD. VERGUEIRO;01/01/2013;31/12/2017;DIRETA;;;306225;09/03/2000;;
513;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;11;CEI CONVENIADO      ;7744;CEI CONV. MÃE ZAZÁ I;AV. TAQUANDAVA, 164;(11)58967649 (11)58967653;4950000;CIDADE IPAVA;01/01/2013;31/12/2017;DIRETA;;;306238;28/02/2000;;
514;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7403;CEI MUN. JD. KLEIN 5/6 - (MIST);R. BONIFÁCIO DE MONTFERRAT, 143;(11)58326872;5831040;JD. KLEIN;;;MISTA;;;400091;22/02/2000;03/01/2012;
515;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7408;CEI MUN. JD. NAKAMURA 7/8 - (MIST);R. MIGUEL DIONISIO VALLE, 68;(11)58327213;4942040;JD. NAKAMURA;;;MISTA;;;400103;22/02/2000;03/01/2012;
516;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7402;CEI MUN. JD. KAGOHARA 7/8 - (MIST);R. DAS FERMATAS, 120;(11)58310147;4938030;JD. KAGOHARA;;;MISTA;;;400090;01/03/2004;03/01/2012;
517;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7400;CEI MUN. JD. GUARUJÁ  2/4 - (MIST);AV. GUARUJÁ, S/N;(11)58733210 (11)58701089;5877230;JD. GUARUJÁ;;;MISTA;;;400083;22/02/2000;03/01/2012;
518;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7399;CEI MUN. PQ. FIGUEIRA GRANDE 5/6 - (MIST);R. PEDRO DA COSTA FALEIRO, 111;(11)55146599;4915020;PQ. FIGUEIRA GRANDE;;;MISTA;;;400199;22/02/2000;03/01/2012;
519;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7393;CEI MUN. JD. CAPELA 7/8 - (MIST);R. JOSÉ ROBERTO SALES, 100;(11)55170192;4960090;JD. CAPELA;;;MISTA;;;400069;22/02/2000;03/01/2012;
520;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7392;CEI MUN. JD. COPACABANA 7/8 - (MIST);R. SANTA RITA DO SAPUCAÍ, 215;(11)58326872;4939170;JD. TUPI;;;MISTA;;;400074;22/02/2000;03/01/2012;
521;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7391;CEI MUN. VL. CALU 7/8 - (MIST);R. HUMBERTO MARÇAL, S/N;(11)58965340;4961240;VL. CALÚ;;;MISTA;;;400240;22/02/2000;03/01/2012;
522;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7390;CEI MUN. JD. SÃO MANOEL  2/4 - (MIST);R. PEDRO ROLDAN, S/N;(11)58313844;5871340;JD. SÃO MANOEL;;;MISTA;;;400127;22/02/2000;03/01/2012;
523;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7425;CEI MUN. VER. GUMERCINDO DE PADUA FLEURY - (MIST);R. RAIMUNDA FRANKLIN DE MELO, 300;(11)58191504;5850270;PQ. STO. ANTÔNIO;;;MISTA;;;400054;22/02/2000;03/01/2012;
524;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7423;CEI MUN. PRES. TANCREDO ALMEIDA NEVES - (MIST);R. JACQUES LE MERCIER, S/N;(11)58340868;5866050;JD. MARIANE;;;MISTA;;;400233;22/02/2000;03/01/2012;
525;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7422;CEI MUN. PQ. STA. MARGARIDA - (MIST);R. CAPÃO REDONDO, 80;(11)58326446;4931100;JD. STA. MARGARIDA;;;MISTA;;;400209;03/03/2004;03/01/2012;
526;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7421;CEI MUN. JD. DIONISIO 7/8 - (MIST);R. WILLIAM CREMER, 2;(11)58326628 (11)58320073;4935120;JD. SONIA REGINA;;;MISTA;;;400078;22/02/2000;03/01/2012;
527;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7410;CEI MUN. JD. SÃO LUIZ I - (MIST);R. ARQUITETO ROBERTO PATRÔ ASSIS, 141;(11)55117298;5846100;JD. SÃO LUIZ;;;MISTA;;;400125;22/02/2000;03/01/2012;
528;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7416;CEI MUN. JD. SOUZA 7/8 - (MIST);R. FRANCISCO SOBREIRA DA SILVA, S/N;(11)55146407;4917120;JD. SOUZA;;;MISTA;;;400137;22/02/2000;03/01/2012;
529;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;11720;CEU CEI MUN. VILA DO SOL - (MIST);AV. DOS FUNCIONÁRIOS PÚBLICOS, 369;(11)33979827 (11)33979828 (11)33979832;4962000;JD. DA CAPELA;;;MISTA;;;400671;09/06/2008;03/01/2012;
530;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;11624;CEU CEI MUN. GUARAPIRANGA - (MIST);ESTR. DA BARONESA, 1120;(11)33979671 (11)33979670;4919000;BARONESA;;;MISTA;;;400669;12/03/2008;03/01/2012;
531;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;10250;CEU CEI MUN. CASA BLANCA - (MIST);R. JOÃO DAMASCENO, 85;(11)55195246 (11)55195247;5841160;JD. CASA BLANCA;;;MISTA;;;400534;09/06/2004;03/01/2012;
532;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;9656;CEI MUN. JD. ROSA MARIA - (MIST);R. ADELINO BRANCO DE ANDRADE, 37;(11)58930232;4930070;JD. ROSA MARIA;;;MISTA;;;400285;23/12/2003;03/01/2012;
533;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7413;CEI MUN. PQ. STO. ANTONIO - (MIST);R. RINALDO DE HANDEL, S/N;(11)55146453;5821140;PQ. SANTO ANTONIO;;;MISTA;;;400211;22/02/2000;03/01/2012;
534;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7411;CEI MUN. SÃO LUIS II - (MIST);R. COLOMBO LEONI, 23;(11)58165196;5846210;JD. SÃO LUIZ;;;MISTA;;;400126;22/02/2000;03/01/2012;
535;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7409;CEI MUN. JD. SÃO JOAQUIM 7/8 - (MIST);R. BACABINHA, 1100;(11)55146403;4917030;JD. SÃO JOAQUIM;;;MISTA;;;400124;22/02/2000;03/01/2012;
536;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7407;CEI MUN. PQ. NOVA STO. AMARO 7/8 - (MIST);R. PE. MARCELINO DUARTE, 249;(11)58310382;5874120;PQ. NOVO STO. AMARO;;;MISTA;;;400203;22/02/2000;03/01/2012;
537;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;9;CEI MUNICIPAL       ;7404;CEI MUN. JD. MARIA ALICE 7/8 - (MIST);R. FELICE GIARDINI, 350;(11)55143501;4932390;JD. COIMBRA;;;MISTA;;;400096;22/02/2000;03/01/2012;
538;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;39;CEMEI               ;13088;CEMEI LÁZARA VEIGA CATELLANI (MIST);AV. CAPORANGA, 30;(11)55170125 (11)55171292;4951010;CIDADE IPAVA;;;MISTA;;;19497;13/04/2015;14/07/2015;
539;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;7;CEU GESTÃO          ;12651;CEU GESTÃO VILA DO SOL (MIST);AV. DOS FUNCIONÁRIOS PÚBLICOS, 369;(11)33979800;4962000;JD. VERA;;;MISTA;;;200245;19/04/2012;19/04/2012;
540;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6894;EMEF PROF. CLEMENTE PASTORE - (MIST);R. INÁCIO PARREIRAS NEVES, 17;(11)58338282;4942080;JD. NAKAMURA;;;MISTA;;;92908;21/02/1994;03/01/2012;
541;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6903;EMEF PROF. AIRTON ARANTES RIBEIRO - (MIST);R. FREI LUIS BELTRÃO, 05;(11)55113687 (11)55130008;5846290;CJ. PROMORAR S LUIZ;;;MISTA;;;92991;05/04/1994;03/01/2012;
542;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6915;EMEF DEZOITO DO FORTE - (MIST);R. HAFIZ ABI CHEDID, 110;(11)58314037;4937210;VL. NAGIB;;;MISTA;;;99104;02/03/1994;03/01/2012;
543;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6892;EMEF OLIVEIRA VIANA (MIST);R. PROF. BARROSO DO AMARAL, 694;(11)58310046;4937010;JD. PLANALTO;;;MISTA;;;92886;21/02/1994;03/01/2012;
544;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6891;EMEF PROFA. CAROLINA RENNÓ R. OLIVEIRA - (MIST);R. JOÃO FERREIRA DA SILVA, 99;(11)55146823 (11)55140049;4931070;JD. STA. MARGARIDA;;;MISTA;;;92878;01/03/1994;03/01/2012;
545;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6890;EMEF BEL. MÁRIO MOURA E ALBUQUERQUE - (MIST);R. HUMBERTO DE ALMEIDA, 521;(11)55143074 (11)58910875;5831000;CHÁC. SANTANA;;;MISTA;;;92860;01/03/1994;03/01/2012;
546;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6888;EMEF TEREZA MARGARIDA DA SILVA E ORTA - (MIST);R. ENG. MILTON DE ALVARENGA PEIXOTO, 20;(11)55170577 (11)58999876;4953040;VL. GILDA;;;MISTA;;;566;21/02/1994;03/01/2012;
547;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6921;EMEF PROF. LORENÇO MANOEL SPARAPAN - (MIST);R. HOLDA BOTTO MALANCONI, 431;(11)55139183 (11)55120884;5853310;JD. CAPELINHA;;;MISTA;;;10162;21/02/1994;03/01/2012;
548;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6920;EMEF MAURO FACCIO GONÇALVES - ZACARIAS (MIST);AV. RAQUEL ALVES MOREIRA, 823;(11)55143131;5821130;JD. GUARUJÁ;;;MISTA;;;10154;21/02/1994;28/07/2016;
549;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6916;EMEF PRACINHAS DA FEB - (MIST);R. ANTONIO RAPOSO BARRETO, 151;(11)55143583;4904170;JD. DAS FLORES;;;MISTA;;;99112;10/02/1994;03/01/2012;
550;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6912;EMEF GAL. DE GAULLE - (MIST);R. MOURÍSCA, 16;(11)58513445 (11)58519658;5814190;JD. IBIRAPUERA;;;MISTA;;;93084;01/03/1994;03/01/2012;
551;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;12325;EMEF M' BOI MIRIM II - (MIST);R. JOSÉ MANOEL CAMISA NOVA, 552;(11)58916527;5822015;JD. SÃO LUIZ;;;MISTA;;;19423;06/01/2010;03/01/2012;
552;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;12054;EMEF M'BOI MIRIM I - (MIST);R. NOVA DA TUPAROQUERA, 2100;(11)58910042;5820200;JD.NOVO STO. AMARO;;;MISTA;;;19422;06/02/2009;03/01/2012;
553;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;11634;CEU EMEF MARIO FITTIPALDI - (MIST);ESTR. DA BARONESA, 1120;(11)33979621;4919000;BARONESA;;;MISTA;;;19360;13/03/2008;03/01/2012;
554;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;11632;CEU EMEF VILA DO SOL - (MIST);AV. DOS FUNCIONÁRIOS PÚBLICOS, 369;(11)33979823 (11)33979817 (11)33979819;4962000;JD. DA CAPELA;;;MISTA;;;19362;13/03/2008;03/01/2012;
555;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6893;EMEF PROF. MÁRIO MARQUES DE OLIVEIRA - (MIST);R. MARCELINO COELHO, 297;(11)58310145;4939010;JD. ANGELA;;;MISTA;;;92894;02/03/1994;03/01/2012;
556;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6895;EMEF ANTONIO ESTANISLAU DO AMARAL - (MIST);R. CERDEIRA, 7;(11)58310364 (11)58337677;5874060;PQUE NOVO STO AMARO;;;MISTA;;;92916;04/02/1993;03/01/2012;
557;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;10252;CEU EMEF CASA BLANCA - (MIST);R. JOÃO DAMASCENO, 85;(11)55195230 (11)55195231 (11)55195229;5841160;JD. CASA BLANCA;;;MISTA;;;19303;09/06/2004;03/01/2012;
558;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;9441;EMEF PROFA. MARIA BERENICE DOS SANTOS - (MIST);R. BARBOSA VILAS BOAS, 251;(11)58916564;4904140;JD. DAS FLORES;;;MISTA;;;19712;14/02/2001;03/01/2012;
559;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;9351;EMEF CHÁC. SONHO AZUL - (MIST);AV. JOSÉ ESTIMA FILHO, 1205;(11)55170228;4960020;PQ. STA. BÁRBARA;;;MISTA;;;19372;02/09/1999;03/01/2012;
560;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;9352;EMEF GIANFRANCESCO GUARNIERI  (JD. SÃO LUIZ) - (MIST);R. DOMENICO FONTANA, S/N;(11)55114005 (11)58127374;5854080;PQ. MARIA HELENA;;;MISTA;;;19348;29/02/2000;03/01/2012;
561;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;9319;EMEF DEP. JOSÉ BLOTA JR. - (MIST);R. RENE CASTERA, 601;(11)58965577 (11)58968080;4963160;CHÁC. DA ENSEADA;;;MISTA;;;19283;18/05/1999;03/01/2012;
562;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;8831;EMEF PROFA. ANNA SILVEIRA PEDREIRA - (MIST);R. NOVA DO TUPAROQUERA, 1901;(11)58912980 (11)58911391;5820200;JD NOVO STO AMARO;;;MISTA;;;16713;06/03/1998;03/01/2012;
563;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6902;EMEF PROCÓPIO FERREIRA - (MIST);AV. FIM DE SEMANA, 527;(11)55122237 (11)55120287;5846270;JD. CASA BLANCA;;;MISTA;;;92983;02/03/1994;03/01/2012;
564;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2;EMEF                ;6901;EMEF OTONIEL MOTA - (MIST);R. RAIMUNDA FRANKLIN DE MELO, 184;(11)55113424 (11)58162564;5850270;PQ. STO.ANTONIO;;;MISTA;;;92975;02/03/1994;03/01/2012;
565;SME            ;1;M' BOI MIRIM        ;MB;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;1;EMEI                ;6551;EMEI FRANCISCA JÚLIA DA SILVA - (MIST);R. MARIA CORTADA CORDONIZ, 79;(11)58310136 (11)58316873;4940140;VL. STA. LÚCIA;;;MISTA;;;90131;02/03/1994;03/01/2012;
